State,Interstate,Junction,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
Alabama,Interstate,Junction,1,0,2,1,0,1,1,1,0,0,1,8
Alabama,Interstate,Non-Junction,71,78,82,118,103,89,97,98,125,113,106,1080
Alabama,Interstate,Other,18,16,10,16,8,12,11,15,8,11,15,140
Alabama,Interstate,Total,90,94,94,135,111,102,109,114,133,124,122,1228
Alabama,Non-Interstate,Junction,111,112,144,176,137,154,170,173,158,175,131,1641
Alabama,Non-Interstate,Non-Junction,530,501,504,630,574,576,535,533,542,574,584,6083
Alabama,Non-Interstate,Other,31,37,42,38,42,44,42,31,52,39,53,451
Alabama,Non-Interstate,Total,672,650,690,844,753,774,747,737,752,788,768,8175
Alabama,Unknown,Junction,0,1,0,0,0,0,0,0,0,0,0,1
Alabama,Unknown,Non-Junction,4,2,0,0,0,0,0,1,0,1,3,11
Alabama,Unknown,Other,1,0,0,0,0,0,0,0,0,0,0,1
Alabama,Unknown,Total,5,3,0,0,0,0,0,1,0,1,3,13
Alabama,Total,Junction,112,113,146,177,137,155,171,174,158,175,132,1650
Alabama,Total,Non-Junction,605,581,586,748,677,665,632,632,667,688,693,7174
Alabama,Total,Other,50,53,52,54,50,56,53,46,60,50,68,592
Alabama,Total,Total,767,747,784,979,864,876,856,852,885,913,893,9416
Alaska,Interstate,Junction,1,0,4,3,2,1,1,3,0,4,1,20
Alaska,Interstate,Non-Junction,16,17,16,22,23,19,12,16,15,24,17,197
Alaska,Interstate,Other,0,1,2,1,1,2,2,0,1,4,2,16
Alaska,Interstate,Total,17,18,22,26,26,22,15,19,16,32,20,233
Alaska,Non-Interstate,Junction,7,15,9,9,14,15,9,12,16,13,11,130
Alaska,Non-Interstate,Non-Junction,23,31,25,41,34,26,36,19,28,27,23,313
Alaska,Non-Interstate,Other,2,3,3,1,0,5,1,3,2,3,1,24
Alaska,Non-Interstate,Unknown,0,0,0,0,0,1,0,0,0,0,0,1
Alaska,Non-Interstate,Total,32,49,37,51,48,47,46,34,46,43,35,468
Alaska,Unknown,Junction,0,0,0,0,0,0,1,0,0,0,0,1
Alaska,Unknown,Non-Junction,0,1,1,1,0,0,0,0,0,0,0,3
Alaska,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,1,2
Alaska,Unknown,Total,0,1,1,1,1,0,1,0,0,0,1,6
Alaska,Total,Junction,8,15,13,12,16,16,11,15,16,17,12,151
Alaska,Total,Non-Junction,39,49,42,64,57,45,48,35,43,51,40,513
Alaska,Total,Other,2,4,5,2,1,7,3,3,3,7,3,40
Alaska,Total,Unknown,0,0,0,0,1,1,0,0,0,0,1,3
Alaska,Total,Total,49,68,60,78,75,69,62,53,62,75,56,707
Arizona,Interstate,Junction,0,2,1,0,3,4,0,2,1,3,1,17
Arizona,Interstate,Non-Junction,82,59,77,77,87,105,104,101,42,82,8,824
Arizona,Interstate,Other,44,25,40,31,40,26,11,6,25,51,4,303
Arizona,Interstate,Unknown,0,0,2,0,0,1,0,1,0,0,0,4
Arizona,Interstate,Total,126,86,120,108,130,136,115,110,68,136,13,1148
Arizona,Non-Interstate,Junction,227,201,234,253,264,257,239,256,289,364,391,2975
Arizona,Non-Interstate,Non-Junction,332,327,371,404,435,413,404,438,583,533,617,4857
Arizona,Non-Interstate,Other,58,42,51,61,51,55,55,41,63,69,83,629
Arizona,Non-Interstate,Unknown,33,47,32,25,30,38,37,25,29,51,50,397
Arizona,Non-Interstate,Total,650,617,688,743,780,763,735,760,964,1017,1141,8858
Arizona,Unknown,Junction,0,0,0,0,0,1,13,8,4,1,3,30
Arizona,Unknown,Non-Junction,1,1,0,0,0,8,31,48,19,19,14,141
Arizona,Unknown,Other,0,1,0,0,0,0,0,2,1,1,0,5
Arizona,Unknown,Unknown,5,3,3,5,7,10,14,38,20,26,24,155
Arizona,Unknown,Total,6,5,3,5,7,19,58,96,44,47,41,331
Arizona,Total,Junction,227,203,235,253,267,262,252,266,294,368,395,3022
Arizona,Total,Non-Junction,415,387,448,481,522,526,539,587,644,634,639,5822
Arizona,Total,Other,102,68,91,92,91,81,66,49,89,121,87,937
Arizona,Total,Unknown,38,50,37,30,37,49,51,64,49,77,74,556
Arizona,Total,Total,782,708,811,856,917,918,908,966,1076,1200,1195,10337
Arkansas,Interstate,Junction,0,0,0,0,1,0,0,2,1,0,1,5
Arkansas,Interstate,Non-Junction,45,46,56,52,78,58,62,72,84,81,87,721
Arkansas,Interstate,Other,7,6,9,9,2,11,3,4,9,9,6,75
