Year,State,Area,FClass,VMT
2023,Alabama,Rural,Interstate,6903334100
2023,Alabama,Rural,Other Freeways and Expressways,0
2023,Alabama,Rural,Other Principal Arterial,5798631330
2023,Alabama,Rural,Minor Arterial,4655664000
2023,Alabama,Rural,Major Collector,4437644400
2023,Alabama,Rural,Minor Collector,1361632140
2023,Alabama,Rural,Local,6073265300
2023,Alabama,Urban,Interstate,9667677030
2023,Alabama,Urban,Other Freeways and Expressways,615149970
2023,Alabama,Urban,Other Principal Arterial,9566817840
2023,Alabama,Urban,Minor Arterial,7273939010
2023,Alabama,Urban,Major Collector,4300528160
2023,Alabama,Urban,Minor Collector,111222700
2023,Alabama,Urban,Local,11523106210
2023,Alaska,Rural,Interstate,862999650
2023,Alaska,Rural,Other Freeways and Expressways,0
2023,Alaska,Rural,Other Principal Arterial,294368600
2023,Alaska,Rural,Minor Arterial,119745860
2023,Alaska,Rural,Major Collector,322831390
2023,Alaska,Rural,Minor Collector,243349150
2023,Alaska,Rural,Local,623701420
2023,Alaska,Urban,Interstate,783641120
2023,Alaska,Urban,Other Freeways and Expressways,0
2023,Alaska,Urban,Other Principal Arterial,857834570
2023,Alaska,Urban,Minor Arterial,509498350
2023,Alaska,Urban,Major Collector,238512040
2023,Alaska,Urban,Minor Collector,110060960
2023,Alaska,Urban,Local,650685870
2023,Arizona,Rural,Interstate,7743760330
2023,Arizona,Rural,Other Freeways and Expressways,125148690
2023,Arizona,Rural,Other Principal Arterial,4080972770
2023,Arizona,Rural,Minor Arterial,2270672600
2023,Arizona,Rural,Major Collector,1878016550
2023,Arizona,Rural,Minor Collector,628510290
2023,Arizona,Rural,Local,1392293230
2023,Arizona,Urban,Interstate,8533267860
2023,Arizona,Urban,Other Freeways and Expressways,10112611000
2023,Arizona,Urban,Other Principal Arterial,8158318350
2023,Arizona,Urban,Minor Arterial,16235819640
2023,Arizona,Urban,Major Collector,5744746750
2023,Arizona,Urban,Minor Collector,1946722510
2023,Arizona,Urban,Local,6446607370
2023,Arkansas,Rural,Interstate,4711540890
2023,Arkansas,Rural,Other Freeways and Expressways,354048390
2023,Arkansas,Rural,Other Principal Arterial,3896275420
2023,Arkansas,Rural,Minor Arterial,2899370010
2023,Arkansas,Rural,Major Collector,3714134020
2023,Arkansas,Rural,Minor Collector,760058480
2023,Arkansas,Rural,Local,2519421260
2023,Arkansas,Urban,Interstate,6208586230
2023,Arkansas,Urban,Other Freeways and Expressways,1020168390
2023,Arkansas,Urban,Other Principal Arterial,3782627270
2023,Arkansas,Urban,Minor Arterial,4650360590
2023,Arkansas,Urban,Major Collector,2041065540
